datetime,BTCUSDT,ETHUSDT
2023-11-25 08:02:00,37785.8,2089.65
2023-11-25 08:03:00,37785.8,2089.36
2023-11-25 08:04:00,37785.8,2089.36
2023-11-25 08:05:00,37792.5,2089.36
2023-11-25 08:06:00,37813.26,2089.36
2023-11-25 08:07:00,37813.59,2089.36
2023-11-25 08:08:00,37813.6,2089.36
2023-11-25 08:09:00,37782.61,2089.36
2023-11-25 08:10:00,37813.6,2089.36
2023-11-25 08:11:00,37813.57,2089.36
2023-11-25 08:12:00,37820.1,2089.36
2023-11-25 08:13:00,37790.11,2090.11
2023-11-25 08:14:00,37820.1,2089.45
2023-11-25 08:15:00,37787.84,2090.0
2023-11-25 08:16:00,37820.09,2090.0
2023-11-25 08:17:00,37784.15,2090.01
2023-11-25 08:18:00,37805.5,2090.0
2023-11-25 08:19:00,37784.11,2090.0
2023-11-25 08:20:00,37778.39,2089.44
2023-11-25 08:21:00,37756.75,2089.44
2023-11-25 08:22:00,37756.75,2087.9
2023-11-25 08:23:00,37756.75,2087.9
2023-11-25 08:24:00,37776.5,2087.9
2023-11-25 08:25:00,37776.49,2087.9
2023-11-25 08:26:00,37776.24,2086.61
2023-11-25 08:27:00,37756.66,2086.6
2023-11-25 08:28:00,37774.3,2086.6
2023-11-25 08:29:00,37774.3,2086.6
2023-11-25 08:30:00,37775.9,2086.6
2023-11-25 08:31:00,37756.66,2087.5
2023-11-25 08:32:00,37775.81,2087.5
2023-11-25 08:33:00,37789.1,2089.05
2023-11-25 08:34:00,37796.16,2089.06
2023-11-25 08:35:00,37787.69,2089.06
2023-11-25 08:36:00,37775.83,2089.06
2023-11-25 08:37:00,37775.84,2089.06
2023-11-25 08:38:00,37781.17,2089.06
2023-11-25 08:39:00,37781.17,2089.06
2023-11-25 08:40:00,37781.17,2088.52
2023-11-25 08:41:00,37780.27,2086.84
2023-11-25 08:42:00,37780.26,2086.83
2023-11-25 08:43:00,37780.26,2088.93
2023-11-25 08:44:00,37780.26,2087.39
2023-11-25 08:45:00,37758.52,2087.39
2023-11-25 08:46:00,37760.54,2089.02
2023-11-25 08:47:00,37756.66,2089.02
2023-11-25 08:48:00,37756.66,2089.02
2023-11-25 08:49:00,37756.66,2089.02
2023-11-25 08:50:00,37756.66,2086.6
2023-11-25 08:51:00,37767.51,2086.76
2023-11-25 08:52:00,37767.14,2087.12
2023-11-25 08:53:00,37767.14,2087.12
2023-11-25 08:54:00,37756.33,2087.12
2023-11-25 08:55:00,37768.93,2084.87
2023-11-25 08:56:00,37767.73,2085.66
2023-11-25 08:57:00,37767.05,2085.66
2023-11-25 08:58:00,37767.49,2085.76
2023-11-25 08:59:00,37767.49,2085.76
2023-11-25 09:00:00,37767.49,2085.76
2023-11-25 09:01:00,37767.21,2085.74
2023-11-25 09:02:00,37766.83,2085.75
2023-11-25 09:03:00,37766.37,2085.75
2023-11-25 09:04:00,37751.25,2085.54
